component_contract,families,field_pattern,value_kind,denominator_key,category,comparator,vote_rule,cardinality,required_when,source
step_bundle_v1,interval|progression|failure,{step_prefix}.electrical.terminal_device_power_W,numeric,power_W,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.lateral.boundary_face_flux_W,numeric,power_W,C_no_flux_boundary,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.lateral.boundary_outflow_W,numeric,power_W,C_no_flux_boundary,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.lateral.face_to_cell_global_residual_W,numeric,power_W,C_cancellation_roundoff,parent_analytic_backward_error_bound_unchanged,ratio<=1; signed raw value retained,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.lateral.internal_pair_cancellation_W,numeric,power_W,C_cancellation_roundoff,parent_analytic_backward_error_bound_unchanged,ratio<=1; signed raw value retained,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.lateral.matrix_face_relative_mismatch,numeric,relative_residual,C_lateral_hard_gate,exact_original_hard_gate_disposition,both pass and dispositions match,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.lateral.matrix_face_roundoff_ratio,numeric,relative_residual,C_lateral_hard_gate,exact_original_hard_gate_disposition,both pass and dispositions match,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.lateral.net_cell_outflow_W,numeric,power_W,C_physical_lateral_flux,parent_analytic_mixed_bound_unchanged,ratio<=1; voting,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.lateral.x_face_flux_W,numeric,power_W,C_physical_lateral_flux,parent_analytic_mixed_bound_unchanged,ratio<=1; voting,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.lateral.y_face_flux_W,numeric,power_W,C_physical_lateral_flux,parent_analytic_mixed_bound_unchanged,ratio<=1; voting,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.circuit.accounted_power_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.circuit.input_power_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.circuit.relative_residual,numeric,relative_residual,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.circuit.signed_residual_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.circuit.terms.capacitor_backward_euler_dissipation_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.circuit.terms.capacitor_physical_energy_rate_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.circuit.terms.load_resistor_power_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.circuit.terms.terminal_device_power_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.combined.accounted_power_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.combined.input_power_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.combined.relative_residual,numeric,relative_residual,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.combined.signed_residual_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.combined.terms.capacitor_backward_euler_dissipation_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.combined.terms.capacitor_physical_energy_rate_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.combined.terms.explicit_plane_storage_rate_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.combined.terms.lateral_boundary_outflow_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.combined.terms.load_resistor_power_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.combined.terms.s2_closure_storage_rate_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.combined.terms.vertical_sink_power_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.device_power.accounted_power_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.device_power.input_power_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.device_power.relative_residual,numeric,relative_residual,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.device_power.signed_residual_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.device_power.terms.field_joule_power_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.storage.closure_storage_rate_W,numeric,power_W,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.storage.effective_storage_rate_W,numeric,power_W,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.storage.explicit_plane_storage_rate_W,numeric,power_W,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.storage.lateral_boundary_outflow_W,numeric,power_W,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.storage.vertical_sink_power_W,numeric,power_W,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.thermal.accounted_power_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.thermal.input_power_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.thermal.relative_residual,numeric,relative_residual,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.thermal.signed_residual_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.thermal.terms.explicit_plane_storage_rate_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.thermal.terms.lateral_boundary_outflow_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.thermal.terms.s2_closure_storage_rate_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.ledgers.thermal.terms.vertical_sink_power_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.nonlinear.scaled_residual_inf,numeric,relative_residual,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.nonlinear.scaled_update_inf,numeric,relative_residual,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.state.branch_memory,numeric,branch_memory,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.state.conductive_state,numeric,conductive_state,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.state.device_voltage_V,numeric,device_voltage_V,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.state.temperature_K,numeric,temperature_K,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
step_bundle_v1,interval|progression|failure,{step_prefix}.state.time_s,numeric,time_s,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one per materialized path,normal interval: all three paths; progression: accepted and accepted_first_half per interval; failure: only integrity-passed paths before the declared failing path,strict_v1._add_step_numeric
aggregate_ledger_bundle_v1,interval,{aggregate_prefix}.circuit.accounted_power_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,successful three-path embedded interval,strict_v1._add_ledger_bundle_numeric
aggregate_ledger_bundle_v1,interval,{aggregate_prefix}.circuit.input_power_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,successful three-path embedded interval,strict_v1._add_ledger_bundle_numeric
aggregate_ledger_bundle_v1,interval,{aggregate_prefix}.circuit.relative_residual,numeric,relative_residual,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,successful three-path embedded interval,strict_v1._add_ledger_bundle_numeric
aggregate_ledger_bundle_v1,interval,{aggregate_prefix}.circuit.signed_residual_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,successful three-path embedded interval,strict_v1._add_ledger_bundle_numeric
aggregate_ledger_bundle_v1,interval,{aggregate_prefix}.circuit.terms.capacitor_backward_euler_dissipation_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,successful three-path embedded interval,strict_v1._add_ledger_bundle_numeric
aggregate_ledger_bundle_v1,interval,{aggregate_prefix}.circuit.terms.capacitor_physical_energy_rate_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,successful three-path embedded interval,strict_v1._add_ledger_bundle_numeric
aggregate_ledger_bundle_v1,interval,{aggregate_prefix}.circuit.terms.load_resistor_power_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,successful three-path embedded interval,strict_v1._add_ledger_bundle_numeric
aggregate_ledger_bundle_v1,interval,{aggregate_prefix}.circuit.terms.terminal_device_power_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,successful three-path embedded interval,strict_v1._add_ledger_bundle_numeric
aggregate_ledger_bundle_v1,interval,{aggregate_prefix}.combined.accounted_power_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,successful three-path embedded interval,strict_v1._add_ledger_bundle_numeric
aggregate_ledger_bundle_v1,interval,{aggregate_prefix}.combined.input_power_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,successful three-path embedded interval,strict_v1._add_ledger_bundle_numeric
aggregate_ledger_bundle_v1,interval,{aggregate_prefix}.combined.relative_residual,numeric,relative_residual,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,successful three-path embedded interval,strict_v1._add_ledger_bundle_numeric
aggregate_ledger_bundle_v1,interval,{aggregate_prefix}.combined.signed_residual_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,successful three-path embedded interval,strict_v1._add_ledger_bundle_numeric
aggregate_ledger_bundle_v1,interval,{aggregate_prefix}.combined.terms.capacitor_backward_euler_dissipation_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,successful three-path embedded interval,strict_v1._add_ledger_bundle_numeric
aggregate_ledger_bundle_v1,interval,{aggregate_prefix}.combined.terms.capacitor_physical_energy_rate_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,successful three-path embedded interval,strict_v1._add_ledger_bundle_numeric
aggregate_ledger_bundle_v1,interval,{aggregate_prefix}.combined.terms.explicit_plane_storage_rate_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,successful three-path embedded interval,strict_v1._add_ledger_bundle_numeric
aggregate_ledger_bundle_v1,interval,{aggregate_prefix}.combined.terms.lateral_boundary_outflow_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,successful three-path embedded interval,strict_v1._add_ledger_bundle_numeric
aggregate_ledger_bundle_v1,interval,{aggregate_prefix}.combined.terms.load_resistor_power_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,successful three-path embedded interval,strict_v1._add_ledger_bundle_numeric
aggregate_ledger_bundle_v1,interval,{aggregate_prefix}.combined.terms.s2_closure_storage_rate_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,successful three-path embedded interval,strict_v1._add_ledger_bundle_numeric
aggregate_ledger_bundle_v1,interval,{aggregate_prefix}.combined.terms.vertical_sink_power_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,successful three-path embedded interval,strict_v1._add_ledger_bundle_numeric
aggregate_ledger_bundle_v1,interval,{aggregate_prefix}.device_power.accounted_power_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,successful three-path embedded interval,strict_v1._add_ledger_bundle_numeric
aggregate_ledger_bundle_v1,interval,{aggregate_prefix}.device_power.input_power_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,successful three-path embedded interval,strict_v1._add_ledger_bundle_numeric
aggregate_ledger_bundle_v1,interval,{aggregate_prefix}.device_power.relative_residual,numeric,relative_residual,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,successful three-path embedded interval,strict_v1._add_ledger_bundle_numeric
aggregate_ledger_bundle_v1,interval,{aggregate_prefix}.device_power.signed_residual_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,successful three-path embedded interval,strict_v1._add_ledger_bundle_numeric
aggregate_ledger_bundle_v1,interval,{aggregate_prefix}.device_power.terms.field_joule_power_W,numeric,ledger_power_terms,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,successful three-path embedded interval,strict_v1._add_ledger_bundle_numeric
aggregate_ledger_bundle_v1,interval,{aggregate_prefix}.storage.closure_storage_rate_W,numeric,power_W,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,successful three-path embedded interval,strict_v1._add_ledger_bundle_numeric
aggregate_ledger_bundle_v1,interval,{aggregate_prefix}.storage.effective_storage_rate_W,numeric,power_W,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,successful three-path embedded interval,strict_v1._add_ledger_bundle_numeric
aggregate_ledger_bundle_v1,interval,{aggregate_prefix}.storage.explicit_plane_storage_rate_W,numeric,power_W,A_primary_physical,unchanged_strict_v1_normalized_relative_difference,<=1e-12,one,successful three-path embedded interval,strict_v1._add_ledger_bundle_numeric
