evaluation_id,evaluation_group,group_index,status,evidence_type,execution_class,trajectory_id,dependency_ids,problem_id,protocol_id,audit_id,fixture_id,spatial_level,time_divisor,contact_overlap_m,gate_ids
P1V2-REF-zero_drive-S2T4,REF,2,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-zero_drive-S2T4,,,zero_drive,,,2,4,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-zero_drive-S4T1,REF,3,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-zero_drive-S4T1,,,zero_drive,,,4,1,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-zero_drive-S4T2,REF,4,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-zero_drive-S4T2,,,zero_drive,,,4,2,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-zero_drive-S4T4,REF,5,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-zero_drive-S4T4,,,zero_drive,,,4,4,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-quiescent_9V-S1T4,REF,6,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-quiescent_9V-S1T4,,,quiescent_9V,,,1,4,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-quiescent_9V-S2T4,REF,7,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-quiescent_9V-S2T4,,,quiescent_9V,,,2,4,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-quiescent_9V-S4T1,REF,8,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-quiescent_9V-S4T1,,,quiescent_9V,,,4,1,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-quiescent_9V-S4T2,REF,9,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-quiescent_9V-S4T2,,,quiescent_9V,,,4,2,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-quiescent_9V-S4T4,REF,10,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-quiescent_9V-S4T4,,,quiescent_9V,,,4,4,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-nominal_12V-S1T4,REF,11,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-nominal_12V-S1T4,,,nominal_12V,,,1,4,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-nominal_12V-S2T4,REF,12,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-nominal_12V-S2T4,,,nominal_12V,,,2,4,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-nominal_12V-S4T1,REF,13,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-nominal_12V-S4T1,,,nominal_12V,,,4,1,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-nominal_12V-S4T2,REF,14,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-nominal_12V-S4T2,,,nominal_12V,,,4,2,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-nominal_12V-S4T4,REF,15,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-nominal_12V-S4T4,,,nominal_12V,,,4,4,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-transition_probe_12p5V-S1T4,REF,16,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-transition_probe_12p5V-S1T4,,,transition_probe_12p5V,,,1,4,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-transition_probe_12p5V-S2T4,REF,17,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-transition_probe_12p5V-S2T4,,,transition_probe_12p5V,,,2,4,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-transition_probe_12p5V-S4T1,REF,18,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-transition_probe_12p5V-S4T1,,,transition_probe_12p5V,,,4,1,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-transition_probe_12p5V-S4T2,REF,19,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-transition_probe_12p5V-S4T2,,,transition_probe_12p5V,,,4,2,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-transition_probe_12p5V-S4T4,REF,20,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-transition_probe_12p5V-S4T4,,,transition_probe_12p5V,,,4,4,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-high_bias_lock_15p8V-S1T4,REF,21,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-high_bias_lock_15p8V-S1T4,,,high_bias_lock_15p8V,,,1,4,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-high_bias_lock_15p8V-S2T4,REF,22,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-high_bias_lock_15p8V-S2T4,,,high_bias_lock_15p8V,,,2,4,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-high_bias_lock_15p8V-S4T1,REF,23,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-high_bias_lock_15p8V-S4T1,,,high_bias_lock_15p8V,,,4,1,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-high_bias_lock_15p8V-S4T2,REF,24,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-high_bias_lock_15p8V-S4T2,,,high_bias_lock_15p8V,,,4,2,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-high_bias_lock_15p8V-S4T4,REF,25,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-high_bias_lock_15p8V-S4T4,,,high_bias_lock_15p8V,,,4,4,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-pulse_12p5V-S1T4,REF,26,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-pulse_12p5V-S1T4,,,pulse_12p5V,,,1,4,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-pulse_12p5V-S2T4,REF,27,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-pulse_12p5V-S2T4,,,pulse_12p5V,,,2,4,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-pulse_12p5V-S4T1,REF,28,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-pulse_12p5V-S4T1,,,pulse_12p5V,,,4,1,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-pulse_12p5V-S4T2,REF,29,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-pulse_12p5V-S4T2,,,pulse_12p5V,,,4,2,,space_time_event_convergence;ledgers;source_trend
P1V2-REF-pulse_12p5V-S4T4,REF,30,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-REF-pulse_12p5V-S4T4,,,pulse_12p5V,,,4,4,,space_time_event_convergence;ledgers;source_trend
P1V2-TOP-O10-nominal_12V,TOP,1,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-TOP-O10-nominal_12V,,,nominal_12V,contact_overlap_10nm,,4,4,1e-08,contact_overlap_qoi_sensitivity;geometry_wording
P1V2-TOP-O10-transition_probe_12p5V,TOP,2,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-TOP-O10-transition_probe_12p5V,,,transition_probe_12p5V,contact_overlap_10nm,,4,4,1e-08,contact_overlap_qoi_sensitivity;geometry_wording
P1V2-TOP-O10-high_bias_lock_15p8V,TOP,3,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-TOP-O10-high_bias_lock_15p8V,,,high_bias_lock_15p8V,contact_overlap_10nm,,4,4,1e-08,contact_overlap_qoi_sensitivity;geometry_wording
P1V2-TOP-O20-nominal_12V,TOP,4,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_reused_trajectory_evaluation,TRJ-P1V2-REF-nominal_12V-S4T4,P1V2-REF-nominal_12V-S4T4,,nominal_12V,contact_overlap_20nm,,4,4,2e-08,contact_overlap_qoi_sensitivity;geometry_wording
P1V2-TOP-O20-transition_probe_12p5V,TOP,5,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_reused_trajectory_evaluation,TRJ-P1V2-REF-transition_probe_12p5V-S4T4,P1V2-REF-transition_probe_12p5V-S4T4,,transition_probe_12p5V,contact_overlap_20nm,,4,4,2e-08,contact_overlap_qoi_sensitivity;geometry_wording
P1V2-TOP-O20-high_bias_lock_15p8V,TOP,6,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_reused_trajectory_evaluation,TRJ-P1V2-REF-high_bias_lock_15p8V-S4T4,P1V2-REF-high_bias_lock_15p8V-S4T4,,high_bias_lock_15p8V,contact_overlap_20nm,,4,4,2e-08,contact_overlap_qoi_sensitivity;geometry_wording
P1V2-TOP-O30-nominal_12V,TOP,7,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-TOP-O30-nominal_12V,,,nominal_12V,contact_overlap_30nm,,4,4,2.9999999999999997e-08,contact_overlap_qoi_sensitivity;geometry_wording
P1V2-TOP-O30-transition_probe_12p5V,TOP,8,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-TOP-O30-transition_probe_12p5V,,,transition_probe_12p5V,contact_overlap_30nm,,4,4,2.9999999999999997e-08,contact_overlap_qoi_sensitivity;geometry_wording
P1V2-TOP-O30-high_bias_lock_15p8V,TOP,9,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_dynamic_trajectory,TRJ-P1V2-TOP-O30-high_bias_lock_15p8V,,,high_bias_lock_15p8V,contact_overlap_30nm,,4,4,2.9999999999999997e-08,contact_overlap_qoi_sensitivity;geometry_wording
P1V2-DUAL0-A_only_drive,DUAL0,1,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_fixture,TRJ-P1V2-DUAL0-A_only_drive,,,,,A_only_drive,,,,dual0_A_only_drive
P1V2-DUAL0-B_only_drive,DUAL0,2,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_fixture,TRJ-P1V2-DUAL0-B_only_drive,,,,,B_only_drive,,,,dual0_B_only_drive
P1V2-DUAL0-equal_drive_symmetry,DUAL0,3,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_fixture,TRJ-P1V2-DUAL0-equal_drive_symmetry,,,,,equal_drive_symmetry,,,,dual0_equal_drive_symmetry
P1V2-DUAL0-swapped_label_invariance,DUAL0,4,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_fixture,TRJ-P1V2-DUAL0-swapped_label_invariance,,,,,swapped_label_invariance,,,,dual0_swapped_label_invariance
P1V2-FAIL-negative_effective_capacity,FAIL,1,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_fixture,TRJ-P1V2-FAIL-negative_effective_capacity,,,,,negative_effective_capacity,,,,fail_negative_effective_capacity
P1V2-FAIL-negative_vertical_conductance,FAIL,2,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_fixture,TRJ-P1V2-FAIL-negative_vertical_conductance,,,,,negative_vertical_conductance,,,,fail_negative_vertical_conductance
P1V2-FAIL-nonfinite_newton,FAIL,3,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_fixture,TRJ-P1V2-FAIL-nonfinite_newton,,,,,nonfinite_newton,,,,fail_nonfinite_newton
P1V2-FAIL-ledger_tamper,FAIL,4,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_fixture,TRJ-P1V2-FAIL-ledger_tamper,,,,,ledger_tamper,,,,fail_ledger_tamper
P1V2-FAIL-coordinate_swap,FAIL,5,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_fixture,TRJ-P1V2-FAIL-coordinate_swap,,,,,coordinate_swap,,,,fail_coordinate_swap
P1V2-LIM-zero_drive_equilibrium,LIM,1,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_fixture,TRJ-P1V2-LIM-zero_drive_equilibrium,,,,,zero_drive_equilibrium,,,,lim_zero_drive_equilibrium
P1V2-LIM-uniform_conductivity_linear_potential,LIM,2,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_fixture,TRJ-P1V2-LIM-uniform_conductivity_linear_potential,,,,,uniform_conductivity_linear_potential,,,,lim_uniform_conductivity_linear_potential
P1V2-LIM-zero_joule_cooling,LIM,3,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_fixture,TRJ-P1V2-LIM-zero_joule_cooling,,,,,zero_joule_cooling,,,,lim_zero_joule_cooling
P1V2-LIM-steady_thermal_resistance,LIM,4,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_fixture,TRJ-P1V2-LIM-steady_thermal_resistance,,,,,steady_thermal_resistance,,,,lim_steady_thermal_resistance
P1V2-LIM-local_single_cell_backward_euler,LIM,5,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_fixture,TRJ-P1V2-LIM-local_single_cell_backward_euler,,,,,local_single_cell_backward_euler,,,,lim_local_single_cell_backward_euler
P1V2-LIM-rc_open_device,LIM,6,planned_not_executed,literature_guided_synthetic_numerical_digital_twin,formal_fixture,TRJ-P1V2-LIM-rc_open_device,,,,,rc_open_device,,,,lim_rc_open_device
